Ano_Mes,Indice,Inf_anual,Inf_mensual,Inf_ano_cor
1990-01,5.97,26.69,3.30,3.30
1990-02,6.19,27.12,3.66,7.09
1990-03,6.37,27.63,2.89,10.19
1990-04,6.55,27.98,2.81,13.29
1990-05,6.68,28.24,1.95,15.51
1990-06,6.81,28.97,1.95,17.77
1990-07,6.90,28.72,1.35,19.36
1990-08,7.01,28.98,1.58,21.26
1990-09,7.18,30.24,2.37,24.14
1990-10,7.31,30.65,1.92,26.54
1990-11,7.46,30.97,2.03,29.11
1990-12,7.65,32.36,2.52,32.36
1991-01,7.88,31.98,3.00,3.00
1991-02,8.15,31.65,3.41,6.51
1991-03,8.36,31.18,2.52,9.21
1991-04,8.59,31.16,2.80,12.27
1991-05,8.78,31.49,2.20,14.74
1991-06,8.92,31.00,1.58,16.56
1991-07,9.08,31.60,1.81,18.68
1991-08,9.20,31.20,1.27,20.19
1991-09,9.33,30.01,1.45,21.94
1991-10,9.45,29.25,1.32,23.56
1991-11,9.57,28.22,1.22,25.06
1991-12,9.70,26.82,1.40,26.82
1992-01,10.04,27.43,3.49,3.49
1992-02,10.38,27.35,3.34,6.96
1992-03,10.62,27.08,2.31,9.43
1992-04,10.92,27.15,2.85,12.56
1992-05,11.18,27.30,2.32,15.18
1992-06,11.43,28.13,2.24,17.76
1992-07,11.66,28.36,1.99,20.12
1992-08,11.74,27.70,0.75,21.02
1992-09,11.84,26.92,0.83,22.03
1992-10,11.94,26.32,0.85,23.07
1992-11,12.03,25.70,0.72,23.96
1992-12,12.14,25.13,0.94,25.13
1993-01,12.54,24.82,3.24,3.24
1993-02,12.94,24.71,3.25,6.60
1993-03,13.19,24.18,1.87,8.60
1993-04,13.44,23.08,1.94,10.71
1993-05,13.66,22.21,1.60,12.49
1993-06,13.87,21.38,1.54,14.23
1993-07,14.04,20.46,1.23,15.64
1993-08,14.22,21.07,1.25,17.10
1993-09,14.38,21.43,1.12,18.42
1993-10,14.53,21.69,1.06,19.68
1993-11,14.72,22.37,1.29,21.23
1993-12,14.89,22.60,1.13,22.60
1994-01,15.36,22.50,3.15,3.15
1994-02,15.92,23.01,3.68,6.95
1994-03,16.27,23.41,2.21,9.32
1994-04,16.66,23.94,2.37,11.92
1994-05,16.92,23.86,1.54,13.65
1994-06,17.07,23.08,0.90,14.68
1994-07,17.23,22.69,0.91,15.73
1994-08,17.40,22.35,0.97,16.86
1994-09,17.59,22.31,1.09,18.14
1994-10,17.78,22.37,1.11,19.46
1994-11,17.98,22.16,1.11,20.79
1994-12,18.25,22.59,1.49,22.59
1995-01,18.59,21.04,1.84,1.84
1995-02,19.24,20.86,3.52,5.44
1995-03,19.75,21.33,2.61,8.20
1995-04,20.19,21.17,2.23,10.62
1995-05,20.52,21.30,1.65,12.45
1995-06,20.77,21.66,1.20,13.81
1995-07,20.93,21.50,0.77,14.70
1995-08,21.07,21.09,0.63,15.43
1995-09,21.24,20.79,0.84,16.40
1995-10,21.43,20.52,0.88,17.44
1995-11,21.60,20.13,0.79,18.37
1995-12,21.80,19.46,0.92,19.46
1996-01,22.35,20.24,2.51,2.51
1996-02,23.25,20.81,4.01,6.62
1996-03,23.74,20.20,2.10,8.87
1996-04,24.21,19.90,1.97,11.02
1996-05,24.58,19.78,1.55,12.75
1996-06,24.87,19.70,1.14,14.04
1996-07,25.24,20.57,1.51,15.76
1996-08,25.52,21.13,1.10,17.04
1996-09,25.82,21.55,1.19,18.43
1996-10,26.12,21.87,1.15,19.80
1996-11,26.33,21.88,0.80,20.76
1996-12,26.52,21.63,0.72,21.63
1997-01,26.96,20.62,1.65,1.65
1997-02,27.80,19.58,3.11,4.82
1997-03,28.23,18.93,1.55,6.45
1997-04,28.69,18.52,1.62,8.18
1997-05,29.16,18.60,1.62,9.94
1997-06,29.51,18.67,1.20,11.26
1997-07,29.76,17.88,0.83,12.19
1997-08,30.10,17.93,1.14,13.48
1997-09,30.48,18.01,1.26,14.91
1997-10,30.77,17.80,0.96,16.02
1997-11,31.02,17.81,0.81,16.96
1997-12,31.21,17.68,0.61,17.68
1998-01,31.77,17.84,1.79,1.79
1998-02,32.81,18.03,3.28,5.13
1998-03,33.67,19.24,2.60,7.87
1998-04,34.65,20.74,2.90,11.00
1998-05,35.19,20.67,1.56,12.73
1998-06,35.62,20.69,1.22,14.11
1998-07,35.79,20.27,0.47,14.66
1998-08,35.80,18.94,0.03,14.69
1998-09,35.90,17.80,0.29,15.03
1998-10,36.03,17.09,0.35,15.44
1998-11,36.10,16.35,0.17,15.64
1998-12,36.42,16.70,0.91,16.70
1999-01,37.23,17.18,2.21,2.21
1999-02,37.86,15.38,1.70,3.94
1999-03,38.22,13.51,0.94,4.92
1999-04,38.52,11.17,0.78,5.74
1999-05,38.70,9.98,0.48,6.25
1999-06,38.81,8.96,0.28,6.55
1999-07,38.93,8.78,0.31,6.88
1999-08,39.12,9.28,0.50,7.41
1999-09,39.25,9.33,0.33,7.76
1999-10,39.39,9.32,0.35,8.14
1999-11,39.58,9.65,0.48,8.66
1999-12,39.79,9.23,0.53,9.23
2000-01,40.30,8.25,1.29,1.29
2000-02,41.23,8.89,2.30,3.62
2000-03,41.93,9.73,1.71,5.39
2000-04,42.35,9.96,1.00,6.44
2000-05,42.57,10.00,0.52,7.00
2000-06,42.56,9.68,-0.02,6.98
2000-07,42.55,9.29,-0.04,6.94
2000-08,42.68,9.10,0.32,7.27
2000-09,42.86,9.20,0.43,7.73
2000-10,42.93,8.99,0.15,7.90
2000-11,43.07,8.82,0.33,8.25
2000-12,43.27,8.75,0.46,8.75
2001-01,43.72,8.49,1.05,1.05
2001-02,44.55,8.06,1.89,2.96
2001-03,45.21,7.81,1.48,4.49
2001-04,45.73,7.98,1.15,5.69
2001-05,45.92,7.87,0.42,6.13
2001-06,45.94,7.93,0.04,6.17
2001-07,45.99,8.09,0.11,6.29
2001-08,46.11,8.03,0.26,6.57
2001-09,46.28,7.97,0.37,6.96
2001-10,46.37,8.01,0.19,7.16
2001-11,46.42,7.78,0.12,7.28
2001-12,46.58,7.65,0.34,7.65
2002-01,46.95,7.37,0.80,0.80
2002-02,47.54,6.70,1.26,2.06
2002-03,47.87,5.89,0.71,2.79
2002-04,48.31,5.65,0.92,3.73
2002-05,48.60,5.84,0.60,4.35
2002-06,48.81,6.25,0.43,4.79
2002-07,48.82,6.16,0.02,4.82
2002-08,48.87,5.98,0.09,4.92
2002-09,49.04,5.97,0.36,5.30
2002-10,49.32,6.37,0.56,5.88
2002-11,49.70,7.07,0.78,6.71
2002-12,49.83,6.99,0.27,6.99
2003-01,50.42,7.39,1.17,1.17
2003-02,50.98,7.24,1.11,2.30
2003-03,51.51,7.60,1.05,3.37
2003-04,52.10,7.85,1.15,4.56
2003-05,52.36,7.73,0.49,5.07
2003-06,52.33,7.21,-0.05,5.01
2003-07,52.26,7.04,-0.14,4.86
2003-08,52.42,7.26,0.31,5.18
2003-09,52.53,7.11,0.22,5.42
2003-10,52.56,6.58,0.06,5.48
2003-11,52.75,6.13,0.35,5.85
2003-12,53.07,6.49,0.61,6.49
2004-01,53.54,6.19,0.89,0.89
2004-02,54.18,6.28,1.20,2.10
2004-03,54.71,6.21,0.98,3.10
2004-04,54.96,5.49,0.46,3.57
2004-05,55.17,5.37,0.38,3.97
2004-06,55.51,6.07,0.60,4.59
2004-07,55.49,6.19,-0.03,4.56
2004-08,55.51,5.89,0.03,4.59
2004-09,55.67,5.97,0.30,4.90
2004-10,55.66,5.90,-0.01,4.89
2004-11,55.82,5.82,0.28,5.18
2004-12,55.99,5.50,0.30,5.50
2005-01,56.45,5.43,0.82,0.82
2005-02,57.02,5.25,1.02,1.85
2005-03,57.46,5.03,0.77,2.64
2005-04,57.72,5.01,0.44,3.09
2005-05,57.95,5.04,0.41,3.51
2005-06,58.18,4.83,0.40,3.93
